	B73	B97	H99	Hp301	Il14H	Ki3	MS71	Mo18	Oh7B	Tx303
B73	0	0.128545586	0.130670134	0.135724124	0.141299357	0.141346011	0.125919501	0.140926458	0.126425149	0.135121198
B97	0.128545586	0	0.132330735	0.14079614	0.144189809	0.143187603	0.123750491	0.14482437	0.127529907	0.138414521
H99	0.130670134	0.132330735	0	0.139639321	0.143594352	0.143039446	0.132822294	0.143308365	0.132904387	0.139286141
Hp301	0.135724124	0.14079614	0.139639321	0	0.139190538	0.148377223	0.13958747	0.147142767	0.140822638	0.142326699
Il14H	0.141299357	0.144189809	0.143594352	0.139190538	0	0.158712881	0.143973318	0.156708001	0.145255279	0.151148582
Ki3	0.141346011	0.143187603	0.143039446	0.148377223	0.158712881	0	0.143577292	0.13708602	0.142712441	0.13759544
MS71	0.125919501	0.123750491	0.132822294	0.13958747	0.143973318	0.143577292	0	0.143956294	0.12875557	0.139829923
Mo18	0.140926458	0.14482437	0.143308365	0.147142767	0.156708001	0.13708602	0.143956294	0	0.142137304	0.135550583
Oh7B	0.126425149	0.127529907	0.132904387	0.140822638	0.145255279	0.142712441	0.12875557	0.142137304	0	0.137661717
Tx303	0.135121198	0.138414521	0.139286141	0.142326699	0.151148582	0.13759544	0.139829923	0.135550583	0.137661717	0
