,Rank2,Rank3,Rank4,Rank5,OTU_Median,OTU_Max,OTU_Min,OTU_count,Min_relabund,Max_relabund,Median_relabund,Cumulative median_rel
41,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,0.002084441,0.005834825,0.002084441,1,0.002084441,0.005834825,0.003778245,#VALUE!
43,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces,0.00148786,0.007399276,0.000129379,2,0.00297572,0.01474006,0.005666539,#VALUE!
121,Chloroflexi,KD4-96,NA,NA,0.00110691,0.003274552,0.00110691,1,0.00110691,0.003274552,0.001851563,#VALUE!
47,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,0.000769087,0.005627442,1.44E-05,2,0.001538174,0.01117743,0.004760645,#VALUE!
57,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,0.000754041,0.004294014,0.000754041,1,0.000754041,0.004294014,0.002598984,#VALUE!
117,Chloroflexi,Gitt-GS-136,NA,NA,0.000738469,0.003132421,0.000738469,1,0.000738469,0.003132421,0.001404402,
150,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,0.000661271,0.002715607,0.000661271,1,0.000661271,0.002715607,0.001190786,
61,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,0.000653845,0.002195366,0.000287033,2,0.001351293,0.004142879,0.002765207,0.002765207
181,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,0.000577372,0.002429142,1.62E-05,2,0.001250126,0.004012296,0.002495137,0.005260344
62,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,0.000538601,0.002342189,0.000538601,1,0.000538601,0.002342189,0.001217464,
40,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,0.000517516,0.002717971,0.000517516,1,0.000517516,0.002717971,0.0008896,
56,Actinobacteria,Micromonosporales,Micromonosporaceae,Planosporangium,0.000392086,0.00170295,0,2,0.00082747,0.00339422,0.001609859,0.001609859
178,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,0.000390365,0.007713003,4.63E-05,3,0.00367515,0.022021468,0.004513273,0.006123131
69,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Lentzea,0.000368308,0.007120338,0.000368308,1,0.000368308,0.007120338,0.002514187,0.008637319
189,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Candidatus_Alysiosphaera,0.000346383,0.001313596,0.000346383,1,0.000346383,0.001313596,0.000619105,
72,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix,0.000281181,0.003550738,0.000281181,1,0.000281181,0.003550738,0.001104115,
25,Actinobacteria,Frankiales,Geodermatophilaceae,NA,0.00026407,0.001072313,0.00026407,1,0.00026407,0.001072313,0.000592388,
197,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Ellin6055,0.000233013,0.00086988,2.60E-05,2,0.000509495,0.001718771,0.000985872,
14,Acidobacteria,Holophagae,iii1-8,NA,0.000227995,0.001028805,1.39E-05,2,0.000467337,0.002042967,0.001336673,
50,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,0.000222514,0.006012227,0.000222514,1,0.000222514,0.006012227,0.00092004,
