"","count_Neg2","count_Neg_1","Rank4","Rank5","Rank6"
"1",0,30,"Bacillales","Family_XI_Incertae_Sedis","Gemella"
"2",0,16,"Bacillales","Staphylococcaceae","Staphylococcus"
"3",0,3,"Burkholderiales","Comamonadaceae","Aquabacterium"
"4",1,1,"Burkholderiales","Comamonadaceae","Comamonas"
"5",316,766,"Burkholderiales","Comamonadaceae","Pelomonas"
"6",0,1,"Burkholderiales","Comamonadaceae","Polaromonas"
"7",2,2,"Burkholderiales","Comamonadaceae","uncultured"
"8",0,1,"Burkholderiales","Comamonadaceae","uncultured"
"9",4,8,"Burkholderiales","Comamonadaceae",NA
"10",0,16,"Burkholderiales","Comamonadaceae",NA
"11",2,7,"Burkholderiales","Comamonadaceae",NA
"12",34,50,"Burkholderiales","Comamonadaceae",NA
"13",95,176,"Burkholderiales","Comamonadaceae",NA
"14",0,11,"Burkholderiales","Oxalobacteraceae","Herbaspirillum"
"15",1,0,"Burkholderiales","Oxalobacteraceae","Massilia"
"16",5,0,"Burkholderiales","Oxalobacteraceae","Massilia"
"17",0,33,"Caulobacterales","Caulobacteraceae","Brevundimonas"
"18",22,8,"Corynebacteriaceae","Corynebacterium",NA
"19",31,0,"Corynebacteriaceae","uncultured",NA
"20",9,0,"Enterobacteriales","Enterobacteriaceae",NA
"21",5,0,"Enterobacteriales","Enterobacteriaceae",NA
"22",3,0,"Gaiellales","uncultured","uncultured_bacterium"
"23",1,0,"Gaiellales","uncultured","uncultured_bacterium"
"24",24,52,"Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
"25",123,1,"Micrococcaceae","Arthrobacter","uncultured_bacterium"
"26",19,7,"Micrococcaceae","Micrococcus","Micrococcus_luteus"
"27",0,8,"Myxococcales","0319-6G20","uncultured_bacterium"
"28",12,0,"Nitrospirales","0319-6A21","uncultured_bacterium"
"29",5,0,"Nitrospirales","0319-6A21","uncultured_bacterium"
"30",9,0,"Nocardiaceae","Williamsia","uncultured_Williamsia_sp."
"31",14,0,"Oceanospirillales","Oceanospirillaceae","Pseudospirillum"
"32",0,6,"Planctomycetales","Planctomycetaceae","Pirellula"
"33",0,1,"Planctomycetales","Planctomycetaceae","Planctomyces"
"34",0,22,"Planctomycetales","Planctomycetaceae","Planctomyces"
"35",0,3,"Planctomycetales","Planctomycetaceae","Planctomyces"
"36",7,0,"Propionibacteriaceae","Propionibacterium",NA
"37",0,26,"Pseudomonadales","Moraxellaceae","Acinetobacter"
"38",1,15,"Pseudomonadales","Moraxellaceae","Acinetobacter"
"39",0,2,"Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"40",27,3,"Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"41",74,0,"Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"42",0,5,"Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"43",1196,155,"Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"44",0,25,"Rhodospirillales","Rhodospirillaceae","Skermanella"
"45",0,6,"Solirubrobacterales",NA,NA
"46",0,7,"Solirubrobacterales",NA,NA
"47",0,7,"Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"48",5,0,"Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"49",0,9,"Streptomycetaceae","Streptomyces",NA
"50",0,1,"Streptomycetaceae","Streptomyces",NA
"51",0,1,"Streptomycetaceae","Streptomyces",NA
"52",0,3,"Streptomycetaceae","Streptomyces",NA
"53",8,0,"uncultured_Acidobacteria_bacterium",NA,NA
"54",1,0,"uncultured_Acidobacteria_bacterium",NA,NA
"55",0,1,"uncultured_Acidobacteria_bacterium",NA,NA
"56",38,121,"uncultured_bacterium",NA,NA
"57",0,1,"uncultured_bacterium",NA,NA
"58",0,15,"Xanthomonadales","Sinobacteraceae","JTB255_marine_benthic_group"
"59",0,1,"Xanthomonadales","Sinobacteraceae","uncultured"
"60",0,2,"Xanthomonadales","Sinobacteraceae","uncultured"
"61",0,4,"Xanthomonadales","Sinobacteraceae","uncultured"
"62",0,10,"Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
